id,question,ground_truth,predicted,raw_output,correct,rag_context
7007efe5-88cb-4469-807b-74ff91928c59,Most common site of Mucosa associated lymphoid tissue (MALT) is _________,D,A,A. Stomach,False,"The human immune system is a complicated marvel that has evolved to demonstrate wide distribution through all the systems of the body (eg, the skin has the Langerhans cells, the liver's Kupffer cells, and the adenoids of the nasopharynx). One such improvisation of the immune system is the MALT, the mucosa-associated lymphoid tissue. The MALT of the gut is the gut-associated lymphoid tissue (GALT); this article is about a part of the GALT—the Peyer patches. ||| Extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue (MALT lymphoma) ||| The significance of mucosal-associated lymphoid tissue (MALT) has recently gained prominence in understanding the pathology of various diseases, especially IgAN, as IgA production predominantly occurs in mucosal tissue. The primary role of MALT is to provide defense against environmental toxins and microbes. MALT tissue is predominantly located in the gut, particularly in Peyer's patches and lymphoid follicles, as well as in the tonsils, both of which are implicated in the pathogenesis of IgAN. [13] Gastrointestinal disorders: Gastrointestinal disorders span a diverse range of conditions, each with distinct implications for IgAN."
212e054f-acc4-49dd-84f7-af637d52a36e,Action of adrenaline on which of the following receptor is not required in the treatment of analphylactic shock,B,B,B. α2,True,"Severe anaphylactic shock occurs when a rapid release of inflammatory mediators and cytokines triggers widespread vasodilation and increased vascular permeability. This situation leads to activating the inflammatory cascade, and immediate epinephrine is the first-line treatment. [1] ||| For cases of anaphylactic shock, epinephrine is the pressor of choice, as it offers alpha-1 and beta-1 stimulation similar to norepinephrine but also provides beta-2 stimulation, which stimulates bronchodilation and stabilization of mast cells and basophils. Adjunct interventions will include both H1 and H2 antihistamines, steroids, albuterol, fluids, and potentially glucagon for those using beta-blockers. ||| For cases of anaphylactic shock, epinephrine is the pressor of choice, as it offers alpha-1 and beta-1 stimulation similar to norepinephrine but also provides beta-2 stimulation, which stimulates bronchodilation and stabilization of mast cells and basophils. Adjunct interventions will include both H1 and H2 antihistamines, steroids, albuterol, fluids, and potentially glucagon for those using beta-blockers."
2266de82-0948-4742-8dc5-fe71613690fe,Painful vaginal ulcer with inguinal lymphadenopathy and school of fish appearance of microorganism or microscopy are characteristic of:,D,D,D. Chancroid,True,"Ulcerative infections of the genitalia to exclude, which also cause inguinal lymphadenopathy, would be chancroid, herpes, granuloma inguinale, and syphilis. ||| The sudden onset of severe blistering and cellulitis may be seen in many clinical scenarios, including pemphigus, pemphigoid, Stevens-Johnson syndrome, toxic epidermal necrolysis, erythema multiforme, group A streptococcus, Pseudomonas , clostridial or Aeromonas infection, radiation exposure, scalding, or toxic ultraviolet exposure. Skin manifestations, particularly on bilateral lower extremities, following shellfish ingestion, suggest V vulnificus infection. [38] [39] ||| Women/Men: Initial diagnosis is primarily by clinical suspicion in regions where this infection is common and by eliminating other causes of genital ulcerations with inguinal lymphadenopathy."
ea98544d-2b35-42ec-b86a-bf7b69733890,Increased risk of endometrial and ovarian cancer is seen in,A,C,C. Cowden's syndrome,False,"Endometriomas carry a small risk of developing a malignancy, specifically epithelial ovarian cancers. However, that risk appears low. A meta-analysis of 13 studies and approximately 9000 women with epithelial ovarian cancers showed that a self-reported history of endometriosis was three times as high. [50] ||| The incidence of endometrial cancer has increased over the years, as the incidence of obesity has increased. Early menarche, late menopause, nulliparity, infertility, and polycystic ovarian syndrome all lead to unopposed exposure to estrogen due to an increased number of ovulatory cycles over the lifespan of a patient. These are all considered important risk factors for endometrial cancer. [5] ||| In addition to risk factors for endometriosis, endometriosis also increases other patient risks. Many of these have been previously discussed, such as infertility, chronic pelvic pain, dyschezia, dyspareunia, and dysmenorrhea. However, it has also been found that women with endometriosis have an increased risk for certain types of ovarian cancer. The overall risk of ovarian cancer remains low. However, multiple studies have demonstrated that women with endometriosis have a higher incidence of clear cell and endometrioid ovarian cancer. [21] There was one study in particular from Finland, which only found this increased risk in women who had endometriomas. [22]"
910ce5cc-3aed-43ae-ac07-f084f337737a,Which of the following grains can be used safely in patients with celiac sprue:,A,A,A. Rice,True,"Clinicians should educate patients and caregivers on how to identify gluten-containing foods, read food labels carefully, and prevent cross-contamination during food preparation to ensure effective management of celiac disease. Notably, it is also important to raise awareness about hidden sources of gluten in medications, supplements, and processed foods. Common gluten-containing items include wheat flour, rye, barley, bread, most bakery products, crackers, baking mixes, pasta, cereal, certain sauces and condiments, processed meats, beer, ale, lager, and malt vinegar. In contrast, foods such as rice, corn, quinoa, oats (if certified gluten-free), potatoes, soybeans, fruits, vegetables, meats, eggs, wine, and distilled alcoholic beverages are generally gluten-free and considered safe. ||| The cornerstone of managing celiac disease is strict, lifelong adherence to a GFD, which alleviates symptoms, promotes intestinal healing, and reduces the risk of long-term complications. Most patients respond well, with symptom improvement typically occurring within a few days to a few weeks. A study reported that 80% of patients experienced fewer episodes of diarrhea within 60 days. A GFD requires the elimination of wheat, barley, rye, and their derivatives, including commonly consumed products such as beer. Gluten-free alternatives include rice, corn, quinoa, millet, oats, sorghum, amaranth, and buckwheat. ||| In patients with celiac disease, diet-centered recommendations include a strict life-long gluten-free diet, education about the disease, management of nutritional deficiencies, access to an advocacy group, and consultation with a skilled dietitian. [22]"
b9f7e052-05cd-4e9b-b81c-d1b26e75a569,Best confirmation for pregnancy at six weeks?,A,A,A. USG for cardiac activity,True,"Confirmation of a viable pregnancy occurs with an ultrasound, which shows a gestational sac on transvaginal ultrasound at five weeks or with an hCG level of 1,500 to 2,000 mIU/mL. Fetal heart motion is visible on transvaginal ultrasound at six weeks or with hCG levels starting at 5,000 to 6,000 mIU/mL. [12] ||| Early pregnancy loss can generally be managed with expectant, medical, or surgical approaches. [5] Although clinicians traditionally used surgical management in most patients with incomplete pregnancy loss, current US guidelines from the American College of Obstetricians and Gynecologists (ACOG) state that patients with early pregnancy loss can be offered all three approaches (ie, expectant, medical, and surgical) as first-line options and that patient preference should guide management. [4] On the other hand, some guidelines, including those from the National Institutes of Health and Care Excellence (NICE) in the UK, more explicitly prefer 1 to 2 weeks of expectant management as the first-line approach in patients without contraindications. However, NICE guidelines note that medical management should be offered if the patient declines expectant management. [23] In patients with incomplete pregnancy loss, limited evidence suggests that medical management may not be any more beneficial than expectant management. Depending on clinical and patient factors, any of these approaches can be appropriate. [5] ||| One or more unexplained fetal deaths of the morphologically normal fetuses, confirmed by ultrasound or direct examination, at or beyond 10 weeks of gestation. One or more premature births of morphologically normal neonates before the 34th week of gestation. Prematurity must be secondary to eclampsia, severe preeclampsia, or placental insufficiency. Three or more consecutive spontaneous abortions before the 10th week of gestation after ruling out any anatomical or hormonal abnormalities in the mother and parental chromosomal causes."
b53eeb9f-8102-4d33-a224-765b52530dd0,Frey's syndrome occurs due to damage to which nerve during Parotid gland surgery?,D,D,D. Auriculotemporal,True,"Frey syndrome usually occurs in adults with auriculotemporal nerve injury due to surgical manipulation or trauma in the parotid region. The auriculotemporal nerve consists of 2 roots. The superior somatosensory root arises from the mandibular branch of the trigeminal nerve, providing innervation to the auricle, external auditory canal, temporomandibular joint, lateral tympanic membrane, and temporal scalp. The inferior parasympathetic root arises from the postganglionic fibers at the otic ganglion, originating from the glossopharyngeal nerve; it is responsible for the visceral secretomotor actions of the parotid gland. [8] After the 2 roots join, the auriculotemporal nerve travels posterior to the mandible and parotid, where it gives off the secretomotor parotid branch before coursing across the superior border of the mandibular condyle below the temporomandibular joint and terminating in the temporal region. Frey syndrome can occur if the auriculotemporal nerve is proximal to the parotid branch or the parotid branch is injured. [8] [9] More recently, a rare variant characterized by symptoms distal to the parotid region in the temporoparietal scalp has been described, even when the ||| Frey syndrome usually occurs with auriculotemporal nerve injury caused by surgical intervention or trauma in the parotid region. Though not always achievable, prevention of this common complication is preferable to treatment; prompt diagnosis and management will substantially improve patient quality of life. This activity reviews the evaluation and treatment of Frey syndrome and highlights the role of the interprofessional team in the care of patients with this condition. ||| Salivary gland neoplasms comprise 3-10% of all head and neck tumors and up to 86% of tumors located in the parotid gland. [10] [11] [12] Parotidectomy is the first-line treatment in patients with salivary gland neoplasms and the most common cause of Frey syndrome in adults. [13] [14] [15] Other complications after parotidectomy include facial paralysis, face contour asymmetry, scarring, salivary fistula, first bite syndrome, pain and discomfort, xerostomia, and hypoesthesia of the skin innervated by the great auricular nerve. [16] [17] [18] Larger parotid tumors are associated with more extensive dissection and parasympathetic nerve fiber exposure and damage, resulting in a higher risk for Frey syndrome. [19] Aside from parotidectomy, other causes of Frey syndrome include direct trauma to the parotid region, mandibular condyle fractures, temporomandibular joint fractures, infection, submandibular gland excision, and radical neck dissections. [5] [6] [9] [20] [21]"
1b2ad03c-00c0-4e20-9f9a-04413d17c79e,Retrospective study is -,A,B,B. Cohort study,False,"Retrospective review is the type of UM that occurs after the care was delivered and after the bill for that care was submitted. The retrospective review seeks to confirm that the care was appropriate and was provided at the most efficient and effective level. Additionally, the retro review also determines if the codes used to describe the care listed on the submitted bill are coded correctly according to such standards as Current Procedural Terminology (CPT) and the International Classification of Diseases-10 (ICD-10). Ideally, the retrospective review should uncover only minimal discrepancies with information that might be available from the pre-auth and concurrent review processes when available. The retrospective review also provides an opportunity to collect data related to the quality of care, compliance with national standards, and additional outcomes data that can be shared with providers and throughout the organization. ||| Ongoing clinical trials and research initiatives include the following: ||| Ongoing clinical trials include the following:"
2adcb209-50f6-4259-960a-2c6a38c776ca,Retinal neovacularization is seen in A/E,C,D,D. Retinopathy of pre,False,"The IIRC divides intraocular retinoblastoma into groups A to E based on tumor size, location, and seeding. Group A includes small tumors less than 3 mm in size that are confined to the retina, while group E encompasses extensive tumors that require enucleation due to their size, extraocular extension, or both. [102] ||| Retinal detachment ||| Retinoblastoma typically presents as a white, friable intraocular mass arising from the retina. The tumor may exhibit areas of calcification, necrosis, and hemorrhage. Depending on the disease stage, the tumor may be confined to the retina or extend to other ocular structures, such as the vitreous cavity, which is associated with vitreous seeding, and the subretinal space, which is linked to subretinal seeding and retinal detachment. In advanced cases, the tumor may invade the optic nerve and beyond, indicating extraocular or metastatic spread."
25dd9fb9-b8f2-422e-abc3-f642149eb23d,"A 30 year old lady presents with features of malabsorption and iron deficiency anaemia. Duodenal biopsy shows complete villous atrophy, Probable diagnosis can be asceained on detection of which antibody :",A,B,B. Anti -goblet cell,False,"Intestinal villous atrophy with resulting malabsorption [2] ||| Making a definitive diagnosis of pernicious anemia can be “problematic” due to the Schilling test becoming obsolete and the absence of a currently approved B12 absorption test. [13] Furthermore, there are multiple diagnostic algorithms and varying diagnostic criteria. [1] [22] [23] [27] [28] [29] Evaluation will likely include a combination of the following: Initial serology: complete blood count (CBC), cobalamin level, folate level, iron panel (serum iron, total iron-binding capacity, ferritin), reticulocyte count Peripheral blood smear Follow-up serology: anti-IF antibodies, antiparietal cell antibodies Additional serology: MMA, fasting homocysteine, holotranscobalamin (HTC) Bone marrow biopsy Endoscopy with biopsies ||| This disease process occurs in individuals who develop an immune-mediated reaction triggered by the ingestion of gluten.  Celiac disease occurs in only about 1% of the population, but the incidence is rising. Symptoms include abdominal cramping, diarrhea, and weight loss.  Diagnosis requires a biopsy of the intestine showing villous atrophy. Most patients will produce the antibody against tissue transglutaminase. [9]"
bb82ecaa-cac5-4d1e-96ba-19d74723318a,Septic ahritis in a 2 year old child is often caused by-,B,C,C. Gonococi,False,"The incidence of septic arthritis is between 2 to 6 cases per 100,000 people but varies based on the presence of risk factors. [4] Septic arthritis is more common in children than in adults. The incidence of septic arthritis peaks between ages 2 and 3 years and has a male predominance (2:1). Subgroups of children at high risk include neonates, hemophiliacs with hemarthroses, immunocompromised (e.g., sickle cell anemia, human immunodeficiency virus infection), and those treated with chemotherapy. Risk factors in adults include age older than 80, diabetes mellitus, rheumatoid arthritis, recent joint surgery, joint prosthesis, previous intra-articular injection, skin infections and cutaneous ulcers, Human immunodeficiency virus, osteoarthritis, sexual activity (especially in cases of suspected gonococcal septic arthritis), other causes of sepsis. [5] [6] ||| Septic arthritis ||| The hematogenous spread of bacteria into the hip joint is the most common mechanism for the development of pediatric septic arthritis. An upper respiratory infection precedes about 80% of the cases. The bacteria involved in about 70% of the cases are a gram-negative coccobacillus, Kingella kingae . Staphylococcus organisms account for 10% of the reported cases. In the past, Haemophilus species were the most common organism causing septic arthritis of the hip in children younger than two years of age. [4] [5] [6]"
